"Stock
No.",Year,Make,Model,"Model
No.",Color,Lot,VIN,Mileage,Age,Balance,Retail,Certified,"Stock 
Type",Wholesale
O58170B,2007,HOND,CR-V,RE4857JW,BEIGE,RI 5703319,JHLRE48567C004842,205336,10,"$3,300.00 ",$0 ,,USED,Wholesale
O58222A,2016,HOND,PILOT,PILOT,GRAY,RI7295292,5FNYF6H5XGB101756,"45,408",10,"$21,700.00 ","$27,488 ",,USED,
58237,2022,HOND,ACCORD,CV1F3NEW,WX,HERE,1HGCV1F33NA103826,5,10,"$28,164.03 ","$30,470 ",,NEW,
O73802XX,2019,HOND,HR-V,,SILVER,,3CZRU6H38KG729191,"28,439",10,"$19,081.11 ","$24,968 ",Certified,USED,
O58218A,2021,HOND,ACCORD,,BM,RI 20731865,1HGCV1F35MA041134,"6,630",10,28546.17,"$31,968 ",Certified,USED,
O58204B,2011,HOND,FIT,GE8H3BEXW,blue,RI 20357047,JHMGE8H3XBC028076,111032,9,"$6,071.51 ",$0 ,,USED,
O58202A,2021,MB,GLB250,GLB250W4,BLACK,GWOOD11.17,W1N4M4HB6MW146045,13291,9,"$38,185.92 ","$41,920 ",,USED,
O58164A,2019,HOND,CR-V,CRV,BLACK,AHF11.17,2HKRW2H50KH674477,30317,9,"$24,850.41 ","$29,416 ",,USED,
O58186A,2021,HOND,ACCORD,,blk,RI 20744435,1HGCV1F36MA022401,"13,311",9,"$27,246.18 ","$31,588 ",,USED,
O73719XXA,2016,AUDI,A5,A5,silver,ALLY 11.18,WAUM2AFR6GA044285,"121,722",9,"$9,835.00 ",$0 ,,USED,
O56106B,2018,HOND,ODYSSEY,RL6H5JEXW,GRAY,EATERN11.21,5FNRL6H56JB079386,"64,685",9,"$18,800.00 ","$27,968 ",,USED,
O73628XXB,2013,HYUN,ELANTRA,ELAN,SILVER,MA BT704221,KMHDH4AE1DU720574,"138,635",8,"$3,000.00 ",$0 ,,USED,Wholesale
O56153B,2012,HOND,CR-V,CRV,BLACK,CITIZENS11.17,2HKRM4H54CH621672,145548,8,"$7,845.00 ",$0 ,,USED,Wholesale
O73808,2019,HOND,CIVIC,FC2F6KEW,WHITE,LBO,2HGFC2F68KH592269,"23,642",7,,"$21,305 ",,USED,Wholesale
O73771XXA,2007,CADI,STS,6DW29,BROWN,CAP111.17,1G6DW677270141493,"50,558",7,"$3,800.00 ",$0 ,,USED,
O73809XX,2018,BMW,530XI,185B,WHITE,MA BT935350,WBAJA7C58JWC75311,"67,687",7,"$25,800.00 ","$30,968 ",,USED,
O58223A,2010,VW,CC,3572FD,white,RI 6574080,WVWMN7AN5AE540227,"88,361",7,2800,$0 ,,USED,
O73810XX,2017,MB,C300,,BLACK,,55SWF4KBXHU189427,"78,992",7,"$17,800.00 ","$22,968 ",,USED,
O73504XXB,2006,TOYO,TUNDRA,TUND,SILVER,MA BH5101733,5TBDT44186S542884,"314,477",7,"$2,300.00 ",$0 ,,USED,Wholesale
O58231A,2020,HOND,CIVIC,,BLUE,AHF11.16,2HGFC1F91LH681588,"31,306",7,"$23,138.04 ","$27,968 ",,USED,
O73804,2022,HOND,CIVIC,,BLUE,RI 20811222,2HGFE2F55NH504185,"9,343",7,"$25,043.24 ","$28,468 ",,USED,
58238,2023,HOND,CR-V,RS4H7PJW,BK,HERE,2HKRS4H76PH405822,5,7,"$33,704.40 ","$36,505 ",,NEW,
O73805,2020,HOND,PILOT,,WHITE,LBO,5FNYF6H39LB035337,"26,186",7,"$23,216.11 ",$0 ,,USED,Wholesale
58239,2023,HOND,CR-V,RS4H4PJW,GC,HERE,7FARS4H4XPE000832,5,7,31613.01,"$33,855 ",,NEW,
58240,2023,HOND,CR-V,RS4H4PJW,GC,HERE,7FARS4H4XPE002810,10,7,"$31,613.01 ","$33,855 ",,NEW,
O73807,2019,HOND,HR-V,,SX,LBO,3CZRU6H34KM744109,"15,595",7,"$13,923.96 ",$0 ,,USED,Wholesale
O73816ZZ,2018,INFI,QX60,,,MA CF262077,5N1DL0MM7JC530371,66142,6,"$20,800.00 ","$26,488 ",,USED,
O73827XX,2020,HOND,CR-V,,,NJ 520193400000,7FARW2H2XLE004140,54494,6,"$22,800.00 ","$27,498 ",,USED,
58241,2023,HOND,PASSPORT,YF8H5PJNW,WX,HERE,5FNYF8H50PB002620,5,6,"$39,451.65 ","$42,790 ",,NEW,
O73817XX,2021,HOND,PILOT,YF6H2MJNW,,MA CB715281,5FNYF6H20MB020430,"17,052",6,"$35,300.00 ","$38,768 ",,USED,
O73828XX,2019,HOND,ACCORD,,,FL 143430359,1HGCV1F15KA071701,"49,160",6,"$21,800.00 ","$24,868 ",,USED,
58242,2022,HOND,ACCORD,CV1F3NEW,BK,HERE,1HGCV1F37NA086965,5,6,"$27,802.23 ","$30,075 ",,NEW,
O73818ZZ,2019,HOND,CR-V,,,MA CA214268,2HKRW2H82KH630247,"38,080",6,"$28,300.00 ","$30,668 ",,USED,
O73829XX,2019,HYUN,SONA,,,NJ EB2019135015,5NPE24AF9KH748245,68609,6,"$14,800.00 ","$18,968 ",,USED,
58243,2022,HOND,ACCORD,CV1F3NEW,SI,HERE,1HGCV1F39NA086806,5,6,"$27,802.23 ","$30,075 ",,NEW,
O73819ZZ,2020,HOND,CR-V,RW2H5LJW,,MA CB527540,2HKRW2H50LH652092,"23,431",6,"$28,300.00 ","$31,488 ",,USED,
O73830XX,2018,CHEV,MALIBU,,,FL 241551767,1G1ZD5ST2JF142146,"74,098",6,"$14,500.00 ","$17,968 ",,USED,
58244,2023,HOND,CIVIC,FE2F5PEW,BT,HERE,2HGFE2F5XPH502614,5,6,"$24,090.06 ","$25,745 ",,NEW,
O73820XX,2021,HOND,RIDGELINE,,,MA CC9205033,5FPYK3F12MB003382,24081,6,"$30,300.00 ","$35,968 ",,USED,
O73831XX,2019,HYUN,ELANTRA,,,FL 137565002,5NPD84LF0KH460797,"79,388",6,"$14,500.00 ","$18,268 ",,USED,
O73821XX,2019,NISS,PATHFINDER,,,NA CA816085,5N1DR2MM2KC592174,54920,6,"$20,300.00 ","$24,968 ",,USED,
O73832XX,2018,DODG,JOURNEY,,,NC 77396920065,3C4PDCAB8JT141214,83012,6,"$13,500.00 ","$17,868 ",,USED,
O73811XX,2019,HOND,ACCORD,,SILVER,FL 136370101,1HGCV1F10KA150547,"26,335",6,"$23,300.00 ","$25,868 ",,USED,
O73822XX,2019,TOYO,RAV4,,GRAY,MA CE318486,JTMP1RFV8KD043273,"38,688",6,"$28,100.00 ","$30,968 ",,USED,
O73778XXA,2014,JEEP,CHEROKEE,CHER,RED,TD 11.18,1C4PJMDS2EW155958,89402,6,"$10,300.00 ",$0 ,,USED,
O73812XX,2019,HYUN,ELANTRA,,SILVER,FL 132320775,KMHD84LF3KU743731,"70,737",6,"$15,300.00 ","$18,868 ",,USED,
O73823XX,2019,VOLV,S60,,,,7JRA22TK2KG004649,"13,886",6,$0.00 ,$0 ,,USED,
O73813XX,2019,HOND,CR-V,,BK,MA CE987868,2HKRW2H82KH623363,89110,6,"$23,800.00 ","$27,298 ",,USED,
O73824ZZ,2019,CHEV,TAHOE,,,MA CE240132,1GNSKCKC4KR106114,"80,088",6,"$38,800.00 ","$43,968 ",,USED,
O73814XX,2019,HOND,INSIGHT,ZE4F9KKNW,,,19XZE4F96KE023329,"55,333",6,"$22,800.00 ","$25,768 ",,USED,
O73825XX,2019,CHEV,BLAZER,,,NC 773668891973,3GNKBKRS6KS641143,"68,797",6,"$30,800.00 ","$35,268 ",,USED,
O73697XXA,2009,SUBA,OUTBACK,OUTB,gray,MA BT221480,4S4BP61CX97336447,"131,675",6,"$1,800.00 ",$0 ,,USED,Wholesale
O73826XX,2015,CHEV,SPARK,,,FL 133569283,KL8CL6S01FC777551,"75,019",6,"$10,500.00 ","$13,268 ",,USED,
O58228A,2019,HOND,CR-V,RW1H5KJW,SILVER,AHF11.16,5J6RW1H59KL002384,"36,837",6,"$22,300.00 ","$25,968 ",,USED,
O58227A,2016,HOND,ACCORD,,WHITE,ALLY11.18,1HGCR2F65GA087393,"73,594",5,"$14,300.00 ","$19,968 ",,USED,
58245,2022,HOND,ACCORD,CV1F3NEW,WX,,1HGCV1F38NA083458,2,5,"$27,723.40 ","$30,075 ",,NEW,
O73834,2021,HOND,CR-V,RW2H5MJW,SILVER,MA CE016492,2HKRW2H50MH611608,"22,250",4,"$26,500.00 ","$32,488 ",,USED,
O56066A,2015,NISS,ROGUE,,SILVER,GLOBALLN11.21,JN8AS5MV2FW763519,"168,339",4,"$2,300.00 ",$0 ,,USED,Wholesale
58246,2022,HOND,ACCORD,CV1F3NEW,BK,HERE,1HGCV1F36NA087041,5,4,"$27,802.23 ","$30,075 ",,NEW,
O73835,2014,HOND,CR-V,,RED,RI 21045050,5J6RM4H73EL118659,"60,898",4,"$14,800.00 ","$20,968 ",,USED,
58247,2022,HOND,PILOT,YF6H2NJNW,GA,,5FNYF6H25NB100243,5,4,"$41,100.20 ","$44,600 ",,NEW,
58248,2023,HOND,CR-V,RS4H7PJW,WX,HERE,7FARS4H71PE001197,5,4,"$34,066.20 ","$36,900 ",,NEW,
58249,2023,HOND,CR-V,RS4H7PJW,BM,HERE,7FARS4H75PE003065,5,4,"$34,066.20 ","$36,900 ",,NEW,
58250,2023,HOND,CR-V,RS4H4PJW,GD,,7FARS4H40PE003304,5,4,"$31,613.01 ","$33,855 ",,NEW,
58251,2023,HOND,CR-V,RS6H9PKW,GE,HERE,2HKRS6H90PH801077,5,4,"$37,072.81 ","$40,240 ",,NEW,
O73838XX,2019,MINI,COOPER,19MM,RED,,WMZYT5C59K3J87609,25350,3,"$26,800.00 ","$29,968 ",,USED,
58252,2023,HOND,CR-V,RS4H7PJW,BM,HERE,7FARS4H71PE004343,5,3,"$34,066.20 ","$36,900 ",,NEW,
O73839ZZ,2020,LAND,RANGE ROVER,,WHITE,,SALWS2RU4LA878379,35881,3,"$75,888.00 ",$0 ,,USED,Wholesale
58253,2023,HOND,CR-V,RS4H7PJW,BK,HERE,7FARS4H76PE000093,5,3,"$33,704.40 ","$36,505 ",,NEW,
O73836,2019,HOND,CR-V,,SILVER,LBO,7FARW2H87KE063150,8952,3,,,,USED,Wholesale
O73837,2019,HOND,CIVIC,FC1F3KJW,BLACK,LBO,19XFC1F38KE211367,13582,3,,$0 ,,USED,Wholesale
O56084B,2004,HOND,CIVIC,ES1654PW,GRAY,RI 5624510,2HGES16514H568592,94000,3,"$2,300.00 ",$0 ,,USED,
O56083B,2002,HOND,ODYSSEY,RL1862PKW,SILVER,RI 20818807,2HKRL18692H574714,166590,2,"$1,300.00 ",,,USED,
O58221A,2017,HOND,ACCORD,CR2F1HENW,WHITE,,1HGCR2F19HA018941,66593,2,16300,22488,,USED,
O73789XXA,2018,HOND,ACCORD,,BLACK,,1HGCV1F3XJA087649,56684,2,19300,$0 ,,USED,
O56152A,2016,HOND,ACCORD,,BLACK,,1HGCR2F85GA061488,131364,2,,$0 ,,USED,
O73758XXA,2022,HOND,ACCORD,ACCO,BLUE,,1HGCV1F31NA055159,"1,924",1,28300,"$32,968 ",,USED,
O73799A,2005,HOND,ACCORD,CM5675JW,GREEN,CUSTOMER,1HGCM56755A087111,235242,1,1800,$0 ,,USED,Wholesale
O73841,2021,HOND,CR-V,RW2H5MJW,,AHF11-21-22,2HKRW2H50MH659447,"33,109",0,,$0 ,,USED,
58254,2022,HOND,ACCORD,CV2F3NJW,GA,,1HGCV2F36NA020641,5,0,32450.68,"$35,150 ",,NEW,
58255,2023,HOND,ODYSSEY,RL6H9PKNW,GA,HERE,5FNRL6H9XPB026007,5,0,46445.04,51310,,NEW,
58256,2023,HOND,ODYSSEY,RL6H6PJNW,GY,,5FNRL6H60PB026278,5,0,38600.05,41855,,NEW,
58257,2023,HOND,CR-V,RS4H7PJW,BU,,7FARS4H74PE004188,5,0,33704.4,36505,,NEW,
58258,2022,HOND,ACCORD,CV1F3NEW,WX,,1HGCV1F39NA083596,5,0,28164.03,30470,,NEW,
O73686A,2007,TOYO,MATRIX,,SILVER,RI 20574015,2T1KR32E27C630675,230501,0,600,0,,USED,
O58197A,2020,HOND,CIVIC,FC2F6LEW,BLACK,,2HGFC2F64LH519479,8764,0,20300,0,,USED,
O73840,2019,HOND,INSIGHT,,,SUNCOAST112122,19XZE4F58KE011440,60952,0,18300,0,,USED,
